,id,f1_score,precision,recall,accuracy,cross_entropy,seed,circuit,learning_rate,loss_history,avg_epoch_time_seconds,model_path,epochs,n_qubits,features_per_qubit,scaler
0,0,0.996022275258552,0.9920760697305864,1.0,0.9958949096880132,0.01716442219913,1,Ranga2024Circuit,0.01,"[0.1194998185291249, 0.02889960845028614, 0.025793439786387973, 0.02200417743944471, 0.017467279368774097, 0.016571286486348407, 0.014442471914758483, 0.01152795254203834, 0.011308486056517913, 0.011979473091023943]",159.59935257434844,results/models/bin/Ranga2024Circuit_expID_0_dfID_0.pth,10,4,4,MinMaxScaler
1,1,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0275475271046161,1,Ranga2024Circuit,0.001,"[0.465129475452398, 0.1997821974862171, 0.11532407550533351, 0.0800684209496371, 0.059921304585020006, 0.04729594237563249, 0.03929328112740462, 0.0335540763059582, 0.02992178265642571, 0.026879594554070775]",161.9079713344574,results/models/bin/Ranga2024Circuit_expID_0_dfID_1.pth,10,4,4,MinMaxScaler
2,2,0.9952,0.9967948717948718,0.9936102236421726,0.9950738916256158,0.013596611097455,1,Senokosov2024Circuit,0.01,"[0.15520546564795568, 0.02918960083901, 0.024081802864154605, 0.02237810542206525, 0.019998798135738502, 0.020128644924146722, 0.0175633119475893, 0.014818157533514559, 0.013714812383113895, 0.011714857334338472]",133.84656524658203,results/models/bin/Senokosov2024Circuit_expID_0_dfID_2.pth,10,4,4,MinMaxScaler
3,3,0.9927826784282278,0.996779388083736,0.988817891373802,0.9926108374384236,0.0321764014661312,1,Senokosov2024Circuit,0.001,"[0.5929172167456463, 0.2740683712457356, 0.16340222467031135, 0.10254545161794675, 0.07110717170871794, 0.05617760201474946, 0.046748048687157664, 0.03980288693473037, 0.03538856006497027, 0.03176740464435792]",132.7700041770935,results/models/bin/Senokosov2024Circuit_expID_0_dfID_3.pth,10,4,4,MinMaxScaler
4,4,0.9959967974379504,0.9983948635634028,0.9936102236421726,0.9958949096880132,0.0173238907009363,1,Anusha2024Circuit,0.01,"[0.13495928062260837, 0.032840807977328565, 0.025426415394911982, 0.02248965109519256, 0.019508409131192724, 0.02029567288302228, 0.016973429119771982, 0.01640771650416259, 0.016383638095009558, 0.01592220965587905]",53.15050582885742,results/models/bin/Anusha2024Circuit_expID_0_dfID_4.pth,10,4,4,MinMaxScaler
5,5,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0352802164852619,1,Anusha2024Circuit,0.001,"[0.4617783295872964, 0.21262725104430788, 0.13203768596347226, 0.09567907137649231, 0.07451926817578312, 0.060974516146081056, 0.05154636403619263, 0.04446322294442277, 0.03972122777792576, 0.03578694564547684]",52.96728508472442,results/models/bin/Anusha2024Circuit_expID_0_dfID_5.pth,10,4,4,MinMaxScaler
6,6,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.0187638774514198,1,DoubleEntanglementVLCircuit,0.01,"[0.13656754835545526, 0.025299856454933576, 0.021837925069312883, 0.02072325382342617, 0.01943639432590173, 0.019979235241312142, 0.018886534228793033, 0.01684731706106839, 0.016346062878782458, 0.014329890602120463]",77.40386788845062,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_6.pth,10,4,4,MinMaxScaler
7,7,0.9927826784282278,0.996779388083736,0.988817891373802,0.9926108374384236,0.0289366208016872,1,DoubleEntanglementVLCircuit,0.001,"[0.599162654559079, 0.24387955033269368, 0.1134309732281652, 0.07433881919438902, 0.05533730375310896, 0.04460300154077183, 0.03777764103448901, 0.03282875779060353, 0.0297935759039032, 0.027325602145681745]",77.72573828697205,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_7.pth,10,4,4,MinMaxScaler
8,8,0.9960031974420464,0.9968,0.9952076677316294,0.9958949096880132,0.0161253307014703,2,Ranga2024Circuit,0.01,"[0.11087902408632401, 0.028543870192247835, 0.02609166984774148, 0.020692775968774713, 0.019612387582655127, 0.019707164641084473, 0.017422790500572057, 0.014338690808137088, 0.016442599207230638, 0.01482560934499289]",164.90610189437865,results/models/bin/Ranga2024Circuit_expID_0_dfID_8.pth,10,4,4,MinMaxScaler
9,9,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0244637988507747,2,Ranga2024Circuit,0.001,"[0.42881735110361324, 0.14304654702152075, 0.0730196937465256, 0.05168446337215995, 0.04148264000449624, 0.03545550873662394, 0.03114011953738028, 0.0281616800853762, 0.02616101242969499, 0.02418833114758232]",164.64273629188537,results/models/bin/Ranga2024Circuit_expID_0_dfID_9.pth,10,4,4,MinMaxScaler
10,10,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0219776760786771,2,Senokosov2024Circuit,0.01,"[0.16130250651009478, 0.026777989679095827, 0.022013055282418224, 0.022098117662321067, 0.019802517631002336, 0.020027278973238458, 0.019950505540978873, 0.01923928429766276, 0.018860312581206306, 0.019259618762780997]",133.12259871959685,results/models/bin/Senokosov2024Circuit_expID_0_dfID_10.pth,10,4,4,MinMaxScaler
11,11,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0296288002282381,2,Senokosov2024Circuit,0.001,"[0.5722969533189347, 0.2506255531487496, 0.14685717014301763, 0.09956835815683007, 0.0711761064165713, 0.054036352618009244, 0.043714622495156764, 0.037042977368017954, 0.03241293613284238, 0.028894520502562]",133.4739095211029,results/models/bin/Senokosov2024Circuit_expID_0_dfID_11.pth,10,4,4,MinMaxScaler
12,12,0.9935691318327974,1.0,0.987220447284345,0.993431855500821,0.0220073889940977,2,Anusha2024Circuit,0.01,"[0.11509557859512586, 0.02885743755062944, 0.023794586999237685, 0.023162486040459236, 0.021576693311401055, 0.022744493196449566, 0.02309143745309197, 0.020850159024216976, 0.022021635343901978, 0.02383115582204865]",53.69474308490753,results/models/bin/Anusha2024Circuit_expID_0_dfID_12.pth,10,4,4,MinMaxScaler
13,13,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0267313439399003,2,Anusha2024Circuit,0.001,"[0.4499369618041735, 0.15001418610642614, 0.08797528349647396, 0.06188631024040086, 0.04803063148191493, 0.0398104761261493, 0.03444436682069576, 0.03074196106938057, 0.028096335815988777, 0.025888807072892393]",53.3910341501236,results/models/bin/Anusha2024Circuit_expID_0_dfID_13.pth,10,4,4,MinMaxScaler
14,14,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0159836113452911,2,DoubleEntanglementVLCircuit,0.01,"[0.13290639966266768, 0.025446536069993225, 0.02136302480261963, 0.021329723124309613, 0.019843711352893336, 0.02013758454957401, 0.020035241551580072, 0.018922864497270847, 0.018585689450494675, 0.01880832273826328]",77.53211145401,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_14.pth,10,4,4,MinMaxScaler
15,15,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0258542224764823,2,DoubleEntanglementVLCircuit,0.001,"[0.5509471899192584, 0.17289591105164667, 0.08003055011412423, 0.055687757588824945, 0.04413869954939736, 0.03704183031559775, 0.03239124228773443, 0.029081716222112607, 0.026686695882266288, 0.024686191607064468]",77.60469782352448,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_15.pth,10,4,4,MinMaxScaler
16,16,0.9936,0.9951923076923076,0.9920127795527156,0.993431855500821,0.0197776053100824,3,Ranga2024Circuit,0.01,"[0.09717881396615044, 0.024944453523953837, 0.020030383527084365, 0.017774226124425984, 0.01685838318084471, 0.014087665886587561, 0.013073318562180103, 0.012845806438283609, 0.010249559022237295, 0.012169337839048623]",163.1226284265518,results/models/bin/Ranga2024Circuit_expID_0_dfID_16.pth,10,4,4,MinMaxScaler
17,17,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0224817041307687,3,Ranga2024Circuit,0.001,"[0.35803463305101585, 0.13272364202298617, 0.07150661037303507, 0.047874815253491854, 0.037737988146928775, 0.031724349586415644, 0.028013013909864975, 0.02525927283721486, 0.022987264681815806, 0.021879805972658734]",163.0158131122589,results/models/bin/Ranga2024Circuit_expID_0_dfID_17.pth,10,4,4,MinMaxScaler
18,18,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.0197528153657913,3,Senokosov2024Circuit,0.01,"[0.11228015169342, 0.023837941239195828, 0.0220752620298299, 0.021898767911089204, 0.020669786788953627, 0.019226896112836823, 0.018584339172919403, 0.017411149116493396, 0.015539848349937145, 0.017684851620000892]",132.15452723503114,results/models/bin/Senokosov2024Circuit_expID_0_dfID_18.pth,10,4,4,MinMaxScaler
19,19,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0235955491662025,3,Senokosov2024Circuit,0.001,"[0.4518912797793746, 0.1615887596517017, 0.08757254766839508, 0.05917463494513772, 0.04423458045225983, 0.035432169979781304, 0.029998414178599456, 0.026390077458927408, 0.023768891419565893, 0.02238948943896072]",132.3393505334854,results/models/bin/Senokosov2024Circuit_expID_0_dfID_19.pth,10,4,4,MinMaxScaler
20,20,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.0242379140108823,3,Anusha2024Circuit,0.01,"[0.15885508440336898, 0.03453845212750725, 0.02706777887866146, 0.027222702520942364, 0.023993160259315596, 0.024510068440002596, 0.024765953725268207, 0.021037832736079797, 0.019582842099465012, 0.022093262870743945]",53.15564570426941,results/models/bin/Anusha2024Circuit_expID_0_dfID_20.pth,10,4,4,MinMaxScaler
21,21,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0282275918871164,3,Anusha2024Circuit,0.001,"[0.4079673427010053, 0.12396832937864881, 0.08054007241796506, 0.059996731977566685, 0.04825630745433859, 0.04080753984530211, 0.03578861143231686, 0.032074233964330665, 0.0292640439737098, 0.027456278047267052]",53.38349220752716,results/models/bin/Anusha2024Circuit_expID_0_dfID_21.pth,10,4,4,MinMaxScaler
22,22,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0142269525676965,3,DoubleEntanglementVLCircuit,0.01,"[0.15429086412156098, 0.02906083436774727, 0.023439870017586815, 0.022093902646845794, 0.020629451483010167, 0.019164597791179978, 0.01774507379741408, 0.015792854699133097, 0.013908262816633061, 0.014658313776587755]",78.06859374046326,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_22.pth,10,4,4,MinMaxScaler
23,23,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0395019985735416,3,DoubleEntanglementVLCircuit,0.001,"[0.5286337169573495, 0.25324766391790227, 0.16425796843280918, 0.11979291068488046, 0.09071087734283585, 0.07157912948413898, 0.05921991789517434, 0.050701294584493885, 0.044452452866703664, 0.03984762700029502]",78.90720400810241,results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_23.pth,10,4,4,MinMaxScaler
24,24,0.9959967974379504,0.9983948635634028,0.9936102236421726,0.9958949096880132,0.0164672657847404,4,Ranga2024Circuit,0.01,"[0.12009620651186101, 0.028776471460189083, 0.021485488562336143, 0.02224040246514242, 0.0229777927073117, 0.01994442005429607, 0.018503318689334646, 0.016670503484419896, 0.018821193388727186, 0.018827799022658024]",148.30196318626403,results/models/bin/Ranga2024Circuit_expID_1_dfID_0.pth,10,4,4,MinMaxScaler
25,25,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.02560381218791,4,Ranga2024Circuit,0.001,"[0.48543684311995383, 0.19094134041255242, 0.09989704703912139, 0.0670310734820209, 0.05020607840637431, 0.040161583912681396, 0.03413772987704234, 0.0302257371184073, 0.02784276019328421, 0.025433203021652605]",146.3183564901352,results/models/bin/Ranga2024Circuit_expID_1_dfID_1.pth,10,4,4,MinMaxScaler
26,26,0.9919614147909968,0.9983818770226536,0.9856230031948882,0.9917898193760264,0.0145391440019011,4,Senokosov2024Circuit,0.01,"[0.16374429984103986, 0.028061228085885216, 0.020969883377945638, 0.020791574074552812, 0.021341238404650204, 0.019527907140160863, 0.018055231048971398, 0.01790601395508642, 0.018348013548491412, 0.015422468693941482]",116.97237582206726,results/models/bin/Senokosov2024Circuit_expID_1_dfID_2.pth,10,4,4,MinMaxScaler
27,27,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0266981795430183,4,Senokosov2024Circuit,0.001,"[0.6183001565697946, 0.30198657429335934, 0.14594761934131384, 0.08665715673889376, 0.06087696945025144, 0.04639038224214394, 0.0373787832581193, 0.0313307056326027, 0.028219578466010524, 0.025697786033178044]",117.27900452613832,results/models/bin/Senokosov2024Circuit_expID_1_dfID_3.pth,10,4,4,MinMaxScaler
28,28,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.0202320404350757,4,Anusha2024Circuit,0.01,"[0.11898562234618064, 0.025843166170249645, 0.021615489555475313, 0.022790738317110624, 0.02521963746460786, 0.021618189184281572, 0.021146650125047017, 0.02067951205438141, 0.023242382242020347, 0.021599313524778774]",47.27378180027008,results/models/bin/Anusha2024Circuit_expID_1_dfID_4.pth,10,4,4,MinMaxScaler
29,29,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0327050946652889,4,Anusha2024Circuit,0.001,"[0.4972271563387231, 0.19246214843894305, 0.11731245501064941, 0.08438774666405822, 0.06593166943639517, 0.05416668468081441, 0.04599176313556535, 0.039722561750462966, 0.035808230511304974, 0.03231465212363554]",47.18379783630371,results/models/bin/Anusha2024Circuit_expID_1_dfID_5.pth,10,4,4,MinMaxScaler
30,30,0.9960031974420464,0.9968,0.9952076677316294,0.9958949096880132,0.0169333964586257,4,DoubleEntanglementVLCircuit,0.01,"[0.13353034393788366, 0.02983052949084116, 0.022957818464706896, 0.020518183646153806, 0.018300287318293397, 0.01537420165588724, 0.014359604762974317, 0.013483204053236955, 0.013762553015016908, 0.012540608564066994]",68.94288880825043,results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_6.pth,10,4,4,MinMaxScaler
31,31,0.9927826784282278,0.996779388083736,0.988817891373802,0.9926108374384236,0.0321983881294727,4,DoubleEntanglementVLCircuit,0.001,"[0.5387203354192408, 0.21881225131648152, 0.12085002442625792, 0.08542054005604434, 0.06657486029067322, 0.0546230976531086, 0.04630443163363165, 0.03987652589689548, 0.035763399684679155, 0.03219746279309651]",69.04031512737274,results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_7.pth,10,4,4,MinMaxScaler
32,32,0.9959903769045708,1.0,0.9920127795527156,0.9958949096880132,0.0100068133324384,5,Ranga2024Circuit,0.01,"[0.10735800386234921, 0.026739397887324327, 0.02752791587868399, 0.021825783024388857, 0.020588597847802845, 0.018655552836877944, 0.016236230511965818, 0.01503067388483415, 0.015675912594671996, 0.014065756008628676]",146.139262342453,results/models/bin/Ranga2024Circuit_expID_1_dfID_8.pth,10,4,4,MinMaxScaler
33,33,0.9943865276663992,0.998389694041868,0.9904153354632588,0.9942528735632185,0.0219045598059892,5,Ranga2024Circuit,0.001,"[0.40004053398182515, 0.1346934387754453, 0.06571876259496141, 0.04612788498573201, 0.036943180750026124, 0.0315137966490032, 0.027969160504749437, 0.02509620226460117, 0.023598250622040053, 0.02225353365142119]",146.16324851512908,results/models/bin/Ranga2024Circuit_expID_1_dfID_9.pth,10,4,4,MinMaxScaler
34,34,0.9943865276663992,0.998389694041868,0.9904153354632588,0.9942528735632185,0.0143359266221523,5,Senokosov2024Circuit,0.01,"[0.14649424786483378, 0.023571130320258243, 0.02183818704667685, 0.019837040329500604, 0.019084577886180915, 0.019031468283126168, 0.01981308079657059, 0.017114305399158376, 0.01613317924305815, 0.014248108051201837]",117.26940140724182,results/models/bin/Senokosov2024Circuit_expID_1_dfID_10.pth,10,4,4,MinMaxScaler
35,35,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.0241550933569669,5,Senokosov2024Circuit,0.001,"[0.5741723446469558, 0.23944293487032778, 0.1001973033907186, 0.05896223489636261, 0.04378859125273792, 0.03557008703692669, 0.030356318936499423, 0.026998086991768918, 0.02475747938182107, 0.02298923217274837]",117.15623426437378,results/models/bin/Senokosov2024Circuit_expID_1_dfID_11.pth,10,4,4,MinMaxScaler
36,36,0.9935897435897436,0.9967845659163987,0.9904153354632588,0.993431855500821,0.0185783971101045,5,Anusha2024Circuit,0.01,"[0.12168366061278472, 0.0353740631376001, 0.03000247536156645, 0.024557010759676097, 0.022960660959238578, 0.023067070730719837, 0.02364481965502675, 0.02137068635075641, 0.021584924617567787, 0.02346387244161681]",47.42092311382294,results/models/bin/Anusha2024Circuit_expID_1_dfID_12.pth,10,4,4,MinMaxScaler
37,37,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0400308147072792,5,Anusha2024Circuit,0.001,"[0.38756552564078256, 0.19574705584857024, 0.1347935061509672, 0.10242987665543823, 0.08203584878509373, 0.06816842558940775, 0.05809177410494732, 0.05066252738776568, 0.044955687168495434, 0.040411330382707285]",47.38448293209076,results/models/bin/Anusha2024Circuit_expID_1_dfID_13.pth,10,4,4,MinMaxScaler
38,38,0.9951845906902088,1.0,0.9904153354632588,0.9950738916256158,0.0150539586320519,5,DoubleEntanglementVLCircuit,0.01,"[0.1314447314086321, 0.02872699649934044, 0.023267720849329827, 0.019929570135374025, 0.01943243306595832, 0.018765122453547327, 0.019088869813793662, 0.016640601918353287, 0.015961890931736746, 0.015146871981031788]",69.04219703674316,results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_14.pth,10,4,4,MinMaxScaler
39,39,0.9927826784282278,0.996779388083736,0.988817891373802,0.9926108374384236,0.0326466523110866,5,DoubleEntanglementVLCircuit,0.001,"[0.46830791950617967, 0.20803631631363378, 0.13348222251883463, 0.09686928559829922, 0.0747527027453639, 0.06025175904659064, 0.050096986245511003, 0.04274298144063275, 0.03727075972557558, 0.03287517371293353]",69.06853501796722,results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_15.pth,10,4,4,MinMaxScaler
40,40,0.9951923076923076,0.9983922829581994,0.9920127795527156,0.9950738916256158,0.0129954600706696,6,Ranga2024Circuit,0.01,"[0.09843466289059602, 0.028392165338645053, 0.02638496455160509, 0.021381609960563333, 0.02034714448477883, 0.016619320995806975, 0.017327765148461606, 0.016062786000570907, 0.01321547167926359, 0.012861190010306401]",145.90156655311586,results/models/bin/Ranga2024Circuit_expID_1_dfID_16.pth,10,4,4,MinMaxScaler
41,41,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0236726086586713,6,Ranga2024Circuit,0.001,"[0.34250577137266336, 0.1455398906071327, 0.08883741959978483, 0.058633360932090955, 0.044603992713076114, 0.036066350726239184, 0.030751949369196632, 0.027260803536352653, 0.02479535351066213, 0.022859023249781642]",145.85912346839905,results/models/bin/Ranga2024Circuit_expID_1_dfID_17.pth,10,4,4,MinMaxScaler
42,42,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0123626682907342,6,Senokosov2024Circuit,0.01,"[0.15111556956483246, 0.025688433410036134, 0.020382755950681473, 0.021622610596272063, 0.01977451276597046, 0.018703971933159903, 0.01800969323219186, 0.015877468607389967, 0.015253595967710441, 0.013142560387438463]",117.16120312213896,results/models/bin/Senokosov2024Circuit_expID_1_dfID_18.pth,10,4,4,MinMaxScaler
43,43,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0255612973123788,6,Senokosov2024Circuit,0.001,"[0.5722712863628802, 0.19079107524042851, 0.08885493921115994, 0.06011045532987306, 0.046275783893897346, 0.03800967294342914, 0.03273639858295945, 0.029083223552381816, 0.026355102316684725, 0.02434780126694884]",117.02519335746766,results/models/bin/Senokosov2024Circuit_expID_1_dfID_19.pth,10,4,4,MinMaxScaler
44,44,0.9943865276663992,0.998389694041868,0.9904153354632588,0.9942528735632185,0.0175847392529249,6,Anusha2024Circuit,0.01,"[0.10866804774789336, 0.031075636551433587, 0.025969141542813497, 0.02545784269022988, 0.024340178145058945, 0.022161988641049613, 0.022392653291861183, 0.020136398967894677, 0.024040171662674862, 0.019786509911921855]",47.40511622428894,results/models/bin/Anusha2024Circuit_expID_1_dfID_20.pth,10,4,4,MinMaxScaler
45,45,0.9935794542536116,0.9983870967741936,0.988817891373802,0.993431855500821,0.0338724739849567,6,Anusha2024Circuit,0.001,"[0.35859740197070333, 0.14540532513178492, 0.09986934777790386, 0.0764372613354537, 0.0619610391226352, 0.05215800111182034, 0.045288184921159165, 0.04017627389648145, 0.036188219548325594, 0.03307593252362782]",47.435310912132266,results/models/bin/Anusha2024Circuit_expID_1_dfID_21.pth,10,4,4,MinMaxScaler
46,46,0.9968051118210862,0.9968051118210862,0.9968051118210862,0.9967159277504104,0.0105872862040996,6,DoubleEntanglementVLCircuit,0.01,"[0.16241673720804484, 0.02855318027554619, 0.022303536521672197, 0.020966452081522317, 0.01716398260147176, 0.015263547684681774, 0.014088548435354727, 0.014016715884185703, 0.01211204945818616, 0.010627324522877308]",69.1536955833435,results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_22.pth,10,4,4,MinMaxScaler
