,id,f1_score,precision,recall,accuracy,cross_entropy,seed,circuit,learning_rate,loss_history,avg_epoch_time_seconds,network_str,model_path,epochs,n_qubits,features_per_qubit,scaler
0,0,0.9959967974379503,0.9983948635634029,0.9936102236421726,0.9958949096880131,0.016467265784740448,4,Ranga2024Circuit,0.01,"[0.12009620651186101, 0.028776471460189083, 0.021485488562336143, 0.02224040246514242, 0.0229777927073117, 0.01994442005429607, 0.018503318689334646, 0.016670503484419896, 0.018821193388727186, 0.018827799022658024]",148.30196318626403,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_0.pth,10,4,4,MinMaxScaler
1,1,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.02560381218791008,4,Ranga2024Circuit,0.001,"[0.48543684311995383, 0.19094134041255242, 0.09989704703912139, 0.0670310734820209, 0.05020607840637431, 0.040161583912681396, 0.03413772987704234, 0.0302257371184073, 0.02784276019328421, 0.025433203021652605]",146.3183564901352,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_1.pth,10,4,4,MinMaxScaler
2,2,0.9919614147909968,0.9983818770226537,0.9856230031948882,0.9917898193760263,0.01453914400190115,4,Senokosov2024Circuit,0.01,"[0.16374429984103986, 0.028061228085885216, 0.020969883377945638, 0.020791574074552812, 0.021341238404650204, 0.019527907140160863, 0.018055231048971398, 0.01790601395508642, 0.018348013548491412, 0.015422468693941482]",116.97237582206726,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_2.pth,10,4,4,MinMaxScaler
3,3,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.02669817954301834,4,Senokosov2024Circuit,0.001,"[0.6183001565697946, 0.30198657429335934, 0.14594761934131384, 0.08665715673889376, 0.06087696945025144, 0.04639038224214394, 0.0373787832581193, 0.0313307056326027, 0.028219578466010524, 0.025697786033178044]",117.27900452613831,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_3.pth,10,4,4,MinMaxScaler
4,4,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.02023204043507576,4,Anusha2024Circuit,0.01,"[0.11898562234618064, 0.025843166170249645, 0.021615489555475313, 0.022790738317110624, 0.02521963746460786, 0.021618189184281572, 0.021146650125047017, 0.02067951205438141, 0.023242382242020347, 0.021599313524778774]",47.27378180027008,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_4.pth,10,4,4,MinMaxScaler
5,5,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.032705094665288925,4,Anusha2024Circuit,0.001,"[0.4972271563387231, 0.19246214843894305, 0.11731245501064941, 0.08438774666405822, 0.06593166943639517, 0.05416668468081441, 0.04599176313556535, 0.039722561750462966, 0.035808230511304974, 0.03231465212363554]",47.18379783630371,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_5.pth,10,4,4,MinMaxScaler
6,6,0.9960031974420464,0.9968,0.9952076677316294,0.9958949096880131,0.016933396458625793,4,DoubleEntanglementVLCircuit,0.01,"[0.13353034393788366, 0.02983052949084116, 0.022957818464706896, 0.020518183646153806, 0.018300287318293397, 0.01537420165588724, 0.014359604762974317, 0.013483204053236955, 0.013762553015016908, 0.012540608564066994]",68.94288880825043,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_6.pth,10,4,4,MinMaxScaler
7,7,0.9927826784282278,0.9967793880837359,0.9888178913738019,0.9926108374384236,0.03219838812947273,4,DoubleEntanglementVLCircuit,0.001,"[0.5387203354192408, 0.21881225131648152, 0.12085002442625792, 0.08542054005604434, 0.06657486029067322, 0.0546230976531086, 0.04630443163363165, 0.03987652589689548, 0.035763399684679155, 0.03219746279309651]",69.04031512737274,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_7.pth,10,4,4,MinMaxScaler
8,8,0.9959903769045709,1.0,0.9920127795527156,0.9958949096880131,0.010006813332438469,5,Ranga2024Circuit,0.01,"[0.10735800386234921, 0.026739397887324327, 0.02752791587868399, 0.021825783024388857, 0.020588597847802845, 0.018655552836877944, 0.016236230511965818, 0.01503067388483415, 0.015675912594671996, 0.014065756008628676]",146.139262342453,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_8.pth,10,4,4,MinMaxScaler
9,9,0.9943865276663993,0.998389694041868,0.9904153354632588,0.9942528735632183,0.021904559805989265,5,Ranga2024Circuit,0.001,"[0.40004053398182515, 0.1346934387754453, 0.06571876259496141, 0.04612788498573201, 0.036943180750026124, 0.0315137966490032, 0.027969160504749437, 0.02509620226460117, 0.023598250622040053, 0.02225353365142119]",146.16324851512908,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_9.pth,10,4,4,MinMaxScaler
