,id,f1_score,precision,recall,accuracy,binary_cross_entropy,seed,circuit,learning_rate,loss_history,val_loss_history,val_f1s,scaler
0,0,0.7193378480060195,0.6799431009957326,0.7635782747603834,0.69376026272578,0.6305332183837891,1,Ranga2024Circuit,0.01,"[0.6914023258968404, 0.660341840433447, 0.646426827499741, 0.6390506817322028, 0.6356524666281123, 0.6337975877288141, 0.6326487625115796, 0.6321325141348337, 0.6318742605416399, 0.6316518049295011, 0.6318786925587215, 0.6316888178453633, 0.6318520498707106, 0.6316737581632639, 0.6319180795628774, 0.63163966077723]","[0.6702669262886047, 0.6504126787185669, 0.6404515504837036, 0.6354196667671204, 0.6327926516532898, 0.6315760612487793, 0.6311954855918884, 0.6308823823928833, 0.6308138370513916, 0.6309220194816589, 0.6309952735900879, 0.6307473182678223, 0.6303708553314209, 0.6303108930587769, 0.6308594942092896, 0.6302552819252014]","[0.7289198606271777, 0.7304964539007093, 0.7258064516129032, 0.7258181818181818, 0.7234988880652335, 0.7174887892376681, 0.7089381207028266, 0.7070552147239264, 0.7097767513471901, 0.7064291247095275, 0.7064291247095275, 0.7073359073359073, 0.7098248286367098, 0.7122247532270312, 0.7064291247095275, 0.7180254300673149]",MinMaxScaler
1,1,0.743893928820656,0.6604708798017348,0.8514376996805112,0.6986863711001642,0.6564705967903137,1,Ranga2024Circuit,0.001,"[0.7414130529290751, 0.7162491987018209, 0.7032986675438128, 0.6956875837947193, 0.690340897754619, 0.6860361622744485, 0.6821758576521748, 0.6786861535357801, 0.6755489173688387, 0.6725313408594382, 0.6698525148002725, 0.6672202958480308, 0.6649127018294836, 0.6626529997508777, 0.6606684084001341, 0.6587021456737268]","[0.7262354493141174, 0.7087317705154419, 0.6990029215812683, 0.6926577091217041, 0.6878138184547424, 0.6836039423942566, 0.6798508167266846, 0.6764399409294128, 0.6733129024505615, 0.6703922152519226, 0.6676566004753113, 0.6651172637939453, 0.6627358198165894, 0.6605777144432068, 0.6585385799407959, 0.6566405892372131]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6800433839479393, 0.6840066408411732, 0.708994708994709, 0.721030042918455, 0.7311827956989247, 0.7402088772845953, 0.7373333333333333, 0.7338325391422736, 0.7313738892686261, 0.7313019390581718, 0.7289198606271777, 0.7303370786516854]",MinMaxScaler
2,2,0.7676113360323886,0.7783251231527094,0.7571884984025559,0.764367816091954,0.5378605127334595,1,Senokosov2024Circuit,0.01,"[0.6834787334266462, 0.6524414312290517, 0.6301277681793037, 0.6112282184001646, 0.5960361586981698, 0.5831077310599779, 0.571931873595244, 0.562717671261022, 0.5550512409719982, 0.5482632009998748, 0.5425681521821963, 0.5372130559071114, 0.5329624974217854, 0.5290298697195555, 0.5254332972200293, 0.522556783631444]","[0.6672486066818237, 0.6451585292816162, 0.6264998912811279, 0.6114519238471985, 0.5985496044158936, 0.5880228877067566, 0.5791749358177185, 0.5716810822486877, 0.5654612183570862, 0.5601637959480286, 0.5555455088615417, 0.5517373085021973, 0.5486167073249817, 0.5454642176628113, 0.5426992774009705, 0.5412746071815491]","[0.5501551189245087, 0.6963350785340314, 0.7489845653939886, 0.7717908082408875, 0.7361455748552522, 0.7111111111111111, 0.7212837837837838, 0.7218934911242604, 0.7100085543199316, 0.7105038428693424, 0.7293921731890092, 0.7106164383561644, 0.7578439259855189, 0.7520259319286872, 0.7417763157894737, 0.7704527402700556]",MinMaxScaler
3,3,0.7111501316944688,0.7894736842105263,0.646964856230032,0.7298850574712644,0.6499928832054138,1,Senokosov2024Circuit,0.001,"[0.747941004014329, 0.7088381959811637, 0.6907938395283724, 0.6829930006673461, 0.6790655104345397, 0.6761639494644968, 0.6733350626340038, 0.6705336833470746, 0.6677417764930349, 0.6648097238258311, 0.6619598285148018, 0.6590323061927369, 0.6561995242771349, 0.6533215892942328, 0.650488064869454, 0.6478099360277778]","[0.7237253189086914, 0.6978234052658081, 0.6866750121116638, 0.6817888021469116, 0.6788955926895142, 0.6763626337051392, 0.6738329529762268, 0.6712554097175598, 0.6686611771583557, 0.6660369634628296, 0.6634008884429932, 0.6607720255851746, 0.6581459641456604, 0.6555799245834351, 0.6530570387840271, 0.6505619287490845]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.7253765932792584, 0.8253521126760563, 0.7632, 0.7301587301587301, 0.7315045719035744, 0.7106164383561644, 0.7067927773000859, 0.6900790166812993, 0.7301587301587301, 0.7034482758620689, 0.7079037800687286, 0.7127024722932651]",MinMaxScaler
4,4,0.6862745098039216,0.7023411371237458,0.670926517571885,0.6847290640394089,0.6438663601875305,1,Anusha2024Circuit,0.01,"[0.6841570809483528, 0.6475279982152738, 0.6397759383054156, 0.6375763265317992, 0.6373815710999464, 0.6371645977426517, 0.636796890610927, 0.6369613893330097, 0.6371530969872287, 0.6371336997927803, 0.6372974263994318, 0.6368930954486132, 0.6372103341119854, 0.6370461038068721, 0.6369894501802168, 0.6373057937935779]","[0.661899745464325, 0.6508845090866089, 0.649615466594696, 0.6505053639411926, 0.6499707102775574, 0.6502244472503662, 0.6501188278198242, 0.6502419114112854, 0.6502898931503296, 0.6501956582069397, 0.6502173542976379, 0.6502345204353333, 0.6508413553237915, 0.6505547761917114, 0.6503066420555115, 0.6512107849121094]","[0.6795180722891566, 0.6467165419783873, 0.6567901234567901, 0.6720516962843296, 0.6427378964941569, 0.6467165419783873, 0.6202749140893471, 0.6202749140893471, 0.6209262435677531, 0.6074847693646649, 0.6245733788395904, 0.6086956521739131, 0.6562242374278648, 0.6467165419783873, 0.6203941730934018, 0.6584564860426929]",MinMaxScaler
5,5,0.6919967663702506,0.7004909983633388,0.6837060702875399,0.687192118226601,0.6493683457374573,1,Anusha2024Circuit,0.001,"[0.7418333768452469, 0.7175255259008784, 0.7028146844945455, 0.6923863899550939, 0.684325438384947, 0.6777469758924685, 0.6720025743308821, 0.6671955812918512, 0.6631437759650382, 0.6594548456762966, 0.6564629595530661, 0.6536263588227724, 0.6514387750311902, 0.6493169579066729, 0.6476259080595091, 0.6463425771186226]","[0.7260528802871704, 0.7085686326026917, 0.6972416043281555, 0.6889721751213074, 0.6824913620948792, 0.677116334438324, 0.6725594997406006, 0.6687321066856384, 0.6655556559562683, 0.6628302931785583, 0.6604952216148376, 0.6585364937782288, 0.6569152474403381, 0.6555049419403076, 0.6543557643890381, 0.653414785861969]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6833056017748197, 0.7360406091370558, 0.7439613526570048, 0.7378223495702005, 0.7168674698795181, 0.7076923076923077, 0.6913385826771653, 0.6913385826771653, 0.6795180722891566, 0.6752618855761483, 0.6699029126213593]",MinMaxScaler
6,6,0.6826424870466321,0.5740740740740741,0.84185303514377,0.5977011494252874,0.679071843624115,1,DoubleEntanglementVLCircuit,0.01,"[0.6993862898334077, 0.6928337504597086, 0.6913641261819162, 0.6899564315221811, 0.6888971864000747, 0.6877203305300913, 0.6867945307963773, 0.6859637889030733, 0.6851739808917046, 0.6846722501673197, 0.684170639240428, 0.6834335711441542, 0.6831279795028662, 0.6827970984342852, 0.682389795584114, 0.6821531025986922]","[0.6935614347457886, 0.691960334777832, 0.690962553024292, 0.6904110908508301, 0.6891914010047913, 0.688215970993042, 0.6875796914100647, 0.687030017375946, 0.6865954399108887, 0.6863874793052673, 0.6858425140380859, 0.6855692267417908, 0.6854597330093384, 0.6853976845741272, 0.685014009475708, 0.68558269739151]","[0.6836565096952909, 0.6793066088840737, 0.6800433839479393, 0.6808278867102396, 0.6938313525749858, 0.6747294716740929, 0.6653721682847896, 0.6613119143239625, 0.6400560224089635, 0.5993975903614458, 0.6445366528354081, 0.6335931963146705, 0.6590604026845638, 0.6577896138482024, 0.6133720930232558, 0.6662337662337663]",MinMaxScaler
7,7,0.6789587852494577,0.5139573070607554,1.0,0.5139573070607554,0.692186176776886,1,DoubleEntanglementVLCircuit,0.001,"[0.7470578931664166, 0.7129481881856918, 0.6997095217045984, 0.6955921753848854, 0.6944719952972311, 0.6941579268559029, 0.6939512771603308, 0.6937639940726129, 0.6936142277952871, 0.6934307507778469, 0.6932648085057735, 0.6930191128661758, 0.692920026026274, 0.6927313614440592, 0.6925587318837643, 0.6924215702241973]","[0.7251294255256653, 0.7038964033126831, 0.6966036558151245, 0.6945627331733704, 0.6940336227416992, 0.6937857270240784, 0.6936165690422058, 0.6934748291969299, 0.6933335661888123, 0.6931883096694946, 0.6930460333824158, 0.6929036974906921, 0.6927700638771057, 0.6926207542419434, 0.6924863457679749, 0.6923540830612183]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737]",MinMaxScaler
8,8,0.8615149196633511,0.8267254038179148,0.8993610223642172,0.8513957307060755,0.35314080119132996,2,Ranga2024Circuit,0.01,"[0.5680078654304931, 0.42686205043604497, 0.39362611999048996, 0.38432613868070276, 0.3811113410874417, 0.38035867446543353, 0.38031981307032864, 0.3801674393348788, 0.3802527636779766, 0.3805065247671385, 0.3800701767598328, 0.38024393238715437, 0.3797462241430032, 0.3800159406014963, 0.3806687397392173, 0.37994599611939567]","[0.4678344130516052, 0.4078783094882965, 0.3917476534843445, 0.38676905632019043, 0.38531047105789185, 0.3852168619632721, 0.3850932717323303, 0.38537752628326416, 0.38490810990333557, 0.38553038239479065, 0.3854759633541107, 0.38559845089912415, 0.38537827134132385, 0.3849661648273468, 0.3850797116756439, 0.38519737124443054]","[0.8564778898370831, 0.8564778898370831, 0.8547008547008547, 0.8553654743390358, 0.8555900621118012, 0.8522283033620016, 0.853125, 0.8535630383711824, 0.8564778898370831, 0.8531029065200314, 0.8526645768025078, 0.8531029065200314, 0.8535630383711824, 0.8544747081712062, 0.8524590163934426, 0.8522283033620016]",MinMaxScaler
9,9,0.8573584905660377,0.8125894134477826,0.9073482428115016,0.8448275862068966,0.3939940631389618,2,Ranga2024Circuit,0.001,"[0.719411856445827, 0.6724375829492745, 0.6320010492284047, 0.5969708014867807, 0.5666195724747682, 0.5404080293680492, 0.5177918308855671, 0.4980922217823957, 0.48134955754013437, 0.46666809916496277, 0.4537212206540923, 0.4428502134978771, 0.4330488728653443, 0.4249955332396846, 0.41816021805923237, 0.41151690718374756]","[0.6945278644561768, 0.6520490646362305, 0.6153032183647156, 0.5833152532577515, 0.5556839108467102, 0.5317493081092834, 0.5109454393386841, 0.492946594953537, 0.4773973524570465, 0.4638559818267822, 0.45210161805152893, 0.44198426604270935, 0.43308910727500916, 0.42545950412750244, 0.4188687205314636, 0.41322168707847595]","[0.6793066088840737, 0.856054836252856, 0.8540706605222734, 0.8556149732620321, 0.8551829268292683, 0.856054836252856, 0.8562737642585552, 0.856054836252856, 0.8562737642585552, 0.8551829268292683, 0.8543096872616324, 0.8547400611620795, 0.8547400611620795, 0.8536398467432951, 0.8534151957022257, 0.8545034642032333]",MinMaxScaler
