,id,f1_score,precision,recall,accuracy,binary_cross_entropy,seed,circuit,learning_rate,loss_history,val_loss_history,val_f1s,scaler
0,0,0.7133479212253829,0.6563758389261745,0.7811501597444089,0.6773399014778325,0.6668077707290649,1,QuantumCircuit,0.1,"[0.6817545202609739, 0.6676702346456679, 0.6643212816040767, 0.6635934304642049, 0.6628043796671065, 0.6628768557780668, 0.6619395617591707, 0.6633293369882985, 0.6619326264450425, 0.6630666110860673, 0.6630673435957808, 0.663064492572295, 0.6623737188546281, 0.6658802626556471, 0.6628003004742297, 0.6637680228603514]","[0.6797204613685608, 0.6641112565994263, 0.6711443066596985, 0.6627770066261292, 0.6632440686225891, 0.6621462106704712, 0.672184407711029, 0.6620185375213623, 0.6651390790939331, 0.6632916331291199, 0.6649410128593445, 0.6688393354415894, 0.6693861484527588, 0.6628497242927551, 0.6641426086425781, 0.6628605723381042]","[0.3034647550776583, 0.6730462519936204, 0.521823472356935, 0.6666666666666666, 0.7140804597701149, 0.6963074604370761, 0.7183191070256073, 0.6923076923076923, 0.6190885640584695, 0.6557377049180327, 0.6174957118353345, 0.7187079407806191, 0.5581395348837209, 0.7100073046018992, 0.7135749822316987, 0.710948905109489]",MinMaxScaler
1,1,0.7160142348754448,0.6456996148908858,0.8035143769968051,0.6724137931034483,0.667670726776123,1,QuantumCircuit,0.01,"[0.6995258727356007, 0.690139143286567, 0.6857314029414403, 0.6819117108457967, 0.6787819962360357, 0.6760101249735606, 0.673631793574283, 0.6716832285256762, 0.6699366916559244, 0.6688093850879293, 0.6676500549441889, 0.6663894084723372, 0.6659284288945951, 0.6652579780079817, 0.6645497169933821, 0.6641769618972352]","[0.6925323605537415, 0.687730610370636, 0.6838732957839966, 0.6809827089309692, 0.6778839826583862, 0.6751834750175476, 0.6731081008911133, 0.6713632345199585, 0.6699355840682983, 0.6688380837440491, 0.6676615476608276, 0.6668083071708679, 0.6661412715911865, 0.6657673120498657, 0.6650460362434387, 0.6649951934814453]","[0.6793066088840737, 0.6725178277564454, 0.6856816885339418, 0.6906976744186046, 0.7116104868913857, 0.713276836158192, 0.7124645892351275, 0.7148997134670487, 0.7062314540059347, 0.6912442396313364, 0.7033457249070632, 0.7080561714708056, 0.7116920842411039, 0.7133666904932094, 0.6842923794712286, 0.7127583749109052]",MinMaxScaler
2,2,0.6761023407729995,0.5127993393889347,0.9920127795527156,0.5114942528735632,0.6892718076705933,1,QuantumCircuit,0.001,"[0.7472541336166231, 0.7133371528041991, 0.700497709802891, 0.6964436528321943, 0.6951295607968381, 0.6944867523485109, 0.6939273135442483, 0.6933761395906147, 0.6928612040845972, 0.6923101491441852, 0.6917846877323953, 0.6911690609627649, 0.6907360949798634, 0.6902030941687132, 0.6896899522919404, 0.6892365511310728]","[0.7253110408782959, 0.7045950889587402, 0.6976073384284973, 0.6954918503761292, 0.6946850419044495, 0.6940937042236328, 0.6935547590255737, 0.6930353045463562, 0.6925191283226013, 0.6920025944709778, 0.6914902329444885, 0.6909851431846619, 0.690483033657074, 0.689993679523468, 0.6895096302032471, 0.6890378594398499]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6757197175448126, 0.675734494015234, 0.6757493188010899]",MinMaxScaler
3,3,0.8552238805970149,0.8025210084033614,0.9153354632587859,0.8407224958949097,0.4209268093109131,1,DoubleEntanglementCircuit,0.1,"[0.46435610900976154, 0.41055948625465755, 0.4092191999876185, 0.40912733628953757, 0.4092096389320336, 0.40872899516436617, 0.4072775508914339, 0.40960035527026967, 0.40848485292180586, 0.408775149452451, 0.41002332727963986, 0.40808792397575944, 0.4085913103956141, 0.41029980205195515, 0.4080885979101846, 0.409309470977046]","[0.41741684079170227, 0.41080090403556824, 0.4100835621356964, 0.4115103483200073, 0.4101582169532776, 0.41556671261787415, 0.4304071068763733, 0.4129261374473572, 0.4109724462032318, 0.4116644561290741, 0.4102415144443512, 0.4113122224807739, 0.41285550594329834, 0.41246312856674194, 0.4122150242328644, 0.41227078437805176]","[0.834597875569044, 0.8374905517762661, 0.8354814253222138, 0.8463810930576071, 0.8323170731707317, 0.8487947406866326, 0.8455516014234875, 0.847682119205298, 0.8287037037037037, 0.8223429014740109, 0.8323170731707317, 0.8444444444444444, 0.8150470219435737, 0.847682119205298, 0.8468335787923417, 0.8468335787923417]",MinMaxScaler
4,4,0.8562874251497006,0.8056338028169014,0.9137380191693291,0.8423645320197044,0.419416218996048,1,DoubleEntanglementCircuit,0.01,"[0.6352820743463541, 0.5322657952967443, 0.48398754226141855, 0.4567718723494756, 0.4407946126241433, 0.43018167642386335, 0.42278087541068854, 0.41846416910227974, 0.41536787127781855, 0.41331240877901254, 0.4116342423581763, 0.4096585368051341, 0.4097680197538514, 0.40904285464631884, 0.4081805850330152, 0.40842853378700583]","[0.5718668103218079, 0.5074257254600525, 0.47284600138664246, 0.4532149136066437, 0.43960443139076233, 0.4308883249759674, 0.4250255525112152, 0.4210902452468872, 0.4183233976364136, 0.4160628020763397, 0.41481831669807434, 0.41346991062164307, 0.413364976644516, 0.4125218391418457, 0.4118344783782959, 0.41229698061943054]","[0.8413793103448276, 0.8464849354375896, 0.8477011494252874, 0.8477011494252874, 0.8487947406866326, 0.8468335787923417, 0.843587842846553, 0.8444444444444444, 0.8444444444444444, 0.8413173652694611, 0.8450074515648286, 0.8414725770097671, 0.8461538461538461, 0.8448403860430587, 0.844776119402985, 0.8463810930576071]",MinMaxScaler
5,5,0.852037169406719,0.7710219922380336,0.952076677316294,0.8300492610837439,0.5277488827705383,1,DoubleEntanglementCircuit,0.001,"[0.739300397861945, 0.7030320914560243, 0.676573767865959, 0.6556409952279768, 0.6383315156164923, 0.6232684335034144, 0.6096896815456843, 0.5976313487871697, 0.5865533014661387, 0.5763454970560575, 0.5668920088363322, 0.5577654786604015, 0.5497903206238621, 0.5419986540157544, 0.5346301531321124, 0.5281235997221971]","[0.7192893624305725, 0.6894086599349976, 0.6665000915527344, 0.6480005383491516, 0.632251501083374, 0.618316113948822, 0.6057869791984558, 0.5944600701332092, 0.5840806365013123, 0.5744434595108032, 0.5655345916748047, 0.5571841597557068, 0.5493916273117065, 0.5420408248901367, 0.5351882576942444, 0.5287246108055115]","[0.6793066088840737, 0.6793066088840737, 0.6800433839479393, 0.7064788732394366, 0.7473182359952324, 0.778816199376947, 0.8041237113402062, 0.823841059602649, 0.8325487558843309, 0.8368600682593856, 0.8404401650618982, 0.8430555555555556, 0.8426183844011143, 0.8437281009110021, 0.8410689170182841, 0.842847075405215]",MinMaxScaler
6,6,0.9062980030721967,0.8727810650887574,0.9424920127795527,0.8998357963875205,0.31742650270462036,1,AmplitudeEncodingCircuit,0.1,"[0.3486758910217567, 0.3121071902446841, 0.3126850315663767, 0.3132348318927382, 0.31319664161358224, 0.3132271681863226, 0.31199963133488046, 0.31289916995324585, 0.31212656601871314, 0.31359138192706987, 0.3127767270136821, 0.31213984729133937, 0.312734747035919, 0.3137277689468312, 0.3124609506738029, 0.31308699619809266]","[0.33955273032188416, 0.3397763669490814, 0.3391666114330292, 0.3409770727157593, 0.33881160616874695, 0.3395354747772217, 0.3440471291542053, 0.3427290618419647, 0.3396035432815552, 0.33744871616363525, 0.3370417058467865, 0.33798402547836304, 0.3378344476222992, 0.33904919028282166, 0.33978310227394104, 0.3393521010875702]","[0.9029793735676088, 0.8928850664581705, 0.901840490797546, 0.9031273836765827, 0.8951048951048951, 0.900459418070444, 0.9045454545454545, 0.9029793735676088, 0.8947778643803586, 0.9015384615384615, 0.8978328173374613, 0.9029793735676088, 0.8951048951048951, 0.900459418070444, 0.8947778643803586, 0.9029793735676088]",MinMaxScaler
7,7,0.9074074074074074,0.8776119402985074,0.939297124600639,0.9014778325123153,0.3166830539703369,1,AmplitudeEncodingCircuit,0.01,"[0.577412698417902, 0.41284422654854624, 0.3542549755228193, 0.33065030483627006, 0.32017814833670855, 0.3150737509621601, 0.31225051564213474, 0.3118009726811004, 0.31129264179617167, 0.3115799046170555, 0.31150153624874194, 0.3111505936831236, 0.31167321483065424, 0.3114583654035079, 0.3113603048075579, 0.31170425541993035]","[0.4690457582473755, 0.38470253348350525, 0.35391753911972046, 0.3426886200904846, 0.33796608448028564, 0.3368089497089386, 0.33662232756614685, 0.3370034098625183, 0.33750617504119873, 0.33764514327049255, 0.3378402590751648, 0.3378163278102875, 0.33831095695495605, 0.3380238115787506, 0.33816343545913696, 0.33854660391807556]","[0.9029793735676088, 0.9021406727828746, 0.9029793735676088, 0.9029793735676088, 0.900459418070444, 0.900459418070444, 0.901689708141321, 0.901689708141321, 0.901689708141321, 0.9008455034588778, 0.9008455034588778, 0.9015384615384615, 0.901840490797546, 0.9008455034588778, 0.9008455034588778, 0.901840490797546]",MinMaxScaler
8,8,0.908256880733945,0.8709677419354839,0.9488817891373802,0.9014778325123153,0.39194199442863464,1,AmplitudeEncodingCircuit,0.001,"[0.7545673349185994, 0.6883611147733111, 0.6410497154452299, 0.6053473763167858, 0.5760632678866386, 0.5504394189307564, 0.5272398511634061, 0.5064435069890398, 0.4873703722106783, 0.47002686060180787, 0.4541922851808761, 0.43958532643553455, 0.4265566019243316, 0.4144261717600258, 0.4033823814243078, 0.39362595720510735]","[0.7174796462059021, 0.662570595741272, 0.6223602890968323, 0.5908477902412415, 0.5640577077865601, 0.5404044985771179, 0.5189646482467651, 0.4995540380477905, 0.481982558965683, 0.4660567045211792, 0.45160576701164246, 0.43849509954452515, 0.4266341030597687, 0.41590771079063416, 0.4062088131904602, 0.3974429666996002]","[0.6793066088840737, 0.6793066088840737, 0.7871939736346516, 0.8896848137535817, 0.9025110782865583, 0.9060856498873028, 0.9045454545454545, 0.9045454545454545, 0.9037149355572404, 0.9019011406844106, 0.9031273836765827, 0.9031273836765827, 0.9031273836765827, 0.9031273836765827, 0.9031273836765827, 0.9038167938931297]",MinMaxScaler
9,9,0.8863463005339436,0.8481751824817518,0.9281150159744409,0.8776683087027914,0.26860788464546204,2,QuantumCircuit,0.1,"[0.44528436954868467, 0.3173081404284427, 0.29108400892858444, 0.2829808819744932, 0.2790733420192019, 0.2771078532218541, 0.2768038438731118, 0.27532866450124666, 0.2753076618782392, 0.2759867331601287, 0.27538845827803016, 0.27433216086539786, 0.27471112207460563, 0.275163789230742, 0.27476783555099055, 0.27438076286527674]","[0.3409554362297058, 0.301479309797287, 0.28505951166152954, 0.2791913151741028, 0.2770247161388397, 0.278167188167572, 0.2758035957813263, 0.27805283665657043, 0.2752913534641266, 0.275979608297348, 0.27515318989753723, 0.2762976884841919, 0.2757497727870941, 0.2768344283103943, 0.2785607874393463, 0.28309786319732666]","[0.89792663476874, 0.8876033057851239, 0.8906882591093117, 0.8986432561851556, 0.8958333333333334, 0.8932496075353218, 0.8930008045052292, 0.8919803600654664, 0.8947791164658635, 0.8944881889763779, 0.896, 0.8905109489051095, 0.8944399677679291, 0.8937844217151849, 0.8941176470588236, 0.8909512761020881]",MinMaxScaler
